program_name,2020,2021,2022,2023,2024,2025,subject_combination
Kiến trúc,21.75,22.75,20.59,21.05,21.90,21.90,"V00, V02, V10"
Kiến trúc công nghệ,20.75,22.25,20.00,20.64,21.30,20.50,"V00, V02"
Kiến trúc Nội thất,22.50,24.00,22.60,21.53,21.50,21.00,"V00, V02"
Kiến trúc cảnh quan,chưa tuyển,21.25,18.00,19.23,21.20,20.40,"V00, V02, V06"
Quy hoạch vùng và đô thị,16.00,17.50,16.00,17.00,21.10,21.30,"V00, V01, V02"
Mỹ thuật đô thị,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,18.01,22.30,"H01, H06, V00, V02"
CTĐT Nghệ thuật và thiết kế,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,23.30,"H00, H07, V00, V01, V02"
Kỹ thuật xây dựng,16.00,18.50,16.00,17.00,21.90,23.85,"A00, A01, C01, D01, D07, X06"
Xây dựng Dân dụng va Công nghiệp,21.75,23.50,20.00,20.00,22.50,24.00,"A00, A01, C01, D07, D24, D29, X06"
Hệ thống kỹ thuật trong công trình,19.75,22.25,20.00,20.00,22.30,23.25,"A00, A01, C01, D07, X06"
Tin học xây dựng,19.00,23.00,20.75,21.20,23.20,23.85,"A00, A01, C01, D01, D07, X06"
Kỹ thuật công trình thủy,Tuyển chung cùng ngành Kĩ thuật xây dựng,Tuyển chung cùng ngành Kĩ thuật xây dựng,Tuyển chung cùng ngành Kĩ thuật xây dựng,Tuyển chung cùng ngành Kĩ thuật xây dựng,17.00,22.50,"A00, A01, C01, D01, D07, X06"
Kỹ thuật công trình biển,Tuyển chung cùng ngành Kĩ thuật xây dựng,Tuyển chung cùng ngành Kĩ thuật xây dựng,Tuyển chung cùng ngành Kĩ thuật xây dựng,Tuyển chung cùng ngành Kĩ thuật xây dựng,17.00,22.40,"A00, A01, C01, D01, D07, X06"
Công nghệ kĩ thuật xây dựng,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,23.60,"A00, A01, C01, D07, X06, X26"
Xây dựng Cầu đường,16.00,17.25,16.00,18.00,21.45,23.00,"A00, A01, C01, D01, D07, X06"
Đường sắt tốc độ cao và đường sắt đô thị,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,22.45,"A00, A01, C01, D01, D07, X06"
Kỹ thuật nước - Môi trường nước,16.00,16.00,16.00,17.00,17.00,21.65,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
Kỹ thuật Môi trường,16.00,16.00,16.00,17.00,17.00,23.00,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
Kỹ thuật Vật liệu,16.00,16.00,16.00,17.00,21.20,24.30,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
Công nghệ Kỹ thuật Vật liệu xây dựng,16.00,16.00,16.00,17.00,19.75,23.30,"A00, A01, A02, B00, C01, C02, D07, X06, X14"
Công nghệ thông tin,24.25,25.35,25.40,24.25,24.75,25.60,"A00, A01, C01, D01, D07, X06, X26"
Công nghệ đa phương tiện,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,24.00,25.10,"A00, A01, C01, D01, D07, X06, X26"
An toàn thông tin,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,25.35,"A00, A01, C01, D01, D07, X06, X26"
Khoa học máy tính,23.00,25.00,24.90,23.91,24.60,25.50,"A00, A01, C01, D01, D07, X06, X26"
Khoa học dữ liệu,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,25.00,"A00, A01, C01, D01, D07, X06, X26"
Kỹ thuật cơ khí,16.00,22.25,22.25,22.65,24.00,25.60,"A00, A01, C01, D07, X06"
Máy xây dựng,16.00,16.00,16.00,17.00,20.75,23.40,"A00, A01, C01, D07, X06"
Kỹ thuật cơ điện,16.00,21.75,22.10,22.40,23.95,25.30,"A00, A01, C01, D07, X06"
Kỹ thuật ô tô,chưa tuyển,23.25,23.70,23.37,24.35,25.40,"A00, A01, C01, D07, X06"
Kỹ thuật điện,Chưa tuyển,Chưa tuyển,Chưa tuyển,19.20,23.80,25.75,"A00, A01, C01, D07, X06"
Kĩ thuật điều khiển và tự động hoá,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,27.00,"A00, A01, C01, X06"
Kinh tế xây dựng,21.75,24.00,22.95,22.40,23.90,24.90,"A00, A01, C01, D01, D07, X05, X06, X26"
Kinh tế và Quản lý đô thị,20.00,23.25,21.40,21.25,23.45,24.10,"A00, A01, C01, D01, D07, X05, X06, X26"
Kinh tế và Quản lý bất động sản,19.50,23.50,22.30,21.50,23.25,23.65,"A00, A01, C01, D01, D07, X05, X06, X26"
"Quản lý hạ tầng, đất đai đô thị",chưa tuyển,16.00,16.55,19.40,22.50,23.50,"A00, A01, C01, D01, D07, X05, X06, X26"
Kiểm toán đầu tư xây dựng,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,22.90,24.35,"A00, A01, C01, D01, D07, X05, X06, X26"
Quản lý dự án,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,21.00,24.55,"A00, A01, C01, 001, D07, X05, X06, X26"
Logistics và Quản lý chuỗi cung ứng,chưa tuyển,24.75,25.00,24.49,24.80,26.00,"A00, A01, C01, D01, D07, X05, X06, X26"
Logistics đô thị,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,23.90,25.60,"A00, A01, C01, D01, D07, X05, X06, X26"
Logistics công nghiệp,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,Chưa tuyển,25.20,"A00, A01, C01, D01, D07, X05, X06, X26"
Kỹ thuật xây dựng PFIEV,20.00,21.00,20.0,20.0,20.00,21.00,"A00, A01, C01, D07, D24, D29, X06"
Kỹ thuật xây dựng (Liên kết quốc tế Mississippi),,,,,20.00,22.00,"A00, A01, C01, D01, D07, X06"
Khoa học máy tính (Liên kết quốc tế Mississippi),,,,,22.00,22.70,"A00, A01, C01, D01, D07, X06"
